signal_date,bar_time,symbol_code,perf_5bd_pct,alert_id
2026-03-05,2026-03-05 09:00,2337,6.8,SS_20260305_130000_BOTTOM_2337
2026-03-05,2026-03-05 09:00,9363,2.3,SS_20260305_130000_BOTTOM_9363
2026-03-05,2026-03-05 13:00,2139,-3.2,SS_20260305_153200_BOTTOM_2139
2026-03-05,2026-03-05 13:00,4881,-10.7,SS_20260305_153200_BOTTOM_4881
2026-03-06,2026-03-06 09:00,2435,-3.4,SS_20260306_130018_BOTTOM_2435
2026-03-06,2026-03-06 09:00,2438,-4.2,SS_20260306_130105_BOTTOM_2438
2026-03-06,2026-03-06 09:00,4419,-10.7,SS_20260306_130031_BOTTOM_4419
2026-03-06,2026-03-06 09:00,4475,-3.3,SS_20260306_130018_BOTTOM_4475
2026-03-06,2026-03-06 09:00,4689,1.5,SS_20260306_130018_BOTTOM_4689
2026-03-06,2026-03-06 09:00,5074,6.8,SS_20260306_130018_BOTTOM_5074
2026-03-06,2026-03-06 09:00,5997,-0.6,SS_20260306_130105_BOTTOM_5997
2026-03-06,2026-03-06 09:00,6573,-7.2,SS_20260306_130018_BOTTOM_6573
2026-03-09,2026-03-09 09:00,4882,-13.9,MANUAL_20260309_130000_BOTTOM_4882
2026-03-09,2026-03-09 09:00,7486,-13.3,MANUAL_20260309_130100_BOTTOM_7486
2026-03-10,2026-03-10 09:00,206A,-4.9,manual_20260310_bottom_206A_130100
2026-03-10,2026-03-10 09:00,2338,44.4,manual_20260310_bottom_2338_130004
2026-03-10,2026-03-10 09:00,3903,4.2,manual_20260310_bottom_3903_130004
2026-03-10,2026-03-10 09:00,6093,2.1,manual_20260310_bottom_6093_130005
2026-03-10,2026-03-10 13:00,3070,-24.1,MANUAL_20260310_153212_BOTTOM_3070
2026-03-11,2026-03-11 09:00,1844,0.2,SCREENSHOT_20260311_130058_BOTTOM_1844
2026-03-11,2026-03-11 09:00,2998,-2.8,SCREENSHOT_20260311_130058_BOTTOM_2998
2026-03-11,2026-03-11 09:00,3628,3.8,SCREENSHOT_20260311_130114_BOTTOM_3628
2026-03-11,2026-03-11 09:00,4893,5.8,SCREENSHOT_20260311_130058_BOTTOM_4893
2026-03-11,2026-03-11 09:00,5252,2.7,SCREENSHOT_20260311_130058_BOTTOM_5252
2026-03-11,2026-03-11 09:00,6656,-11.9,SCREENSHOT_20260311_130058_BOTTOM_6656
2026-03-11,2026-03-11 09:00,6768,-4.6,SCREENSHOT_20260311_130114_BOTTOM_6768
2026-03-11,2026-03-11 09:00,7074,-3.2,SCREENSHOT_20260311_130114_BOTTOM_7074
2026-03-11,2026-03-11 09:00,7992,-0.9,SCREENSHOT_20260311_130114_BOTTOM_7992
2026-03-12,2026-03-12 09:00,264A,-31.5,SCREENSHOT_IMPORT_20260312_130916_BOTTOM_264A
2026-03-12,2026-03-12 09:00,4890,-16.0,SCREENSHOT_IMPORT_20260312_130916_BOTTOM_4890
2026-03-12,2026-03-12 09:00,6545,-2.4,SCREENSHOT_IMPORT_20260312_130916_BOTTOM_6545
2026-03-12,2026-03-12 09:00,6731,-10.4,SCREENSHOT_IMPORT_20260312_130916_BOTTOM_6731
2026-03-12,2026-03-12 09:00,9723,-1.3,SCREENSHOT_IMPORT_20260312_130916_BOTTOM_9723
2026-03-16,2026-03-16 09:00,184A,-8.8,tv_ea71c14062baa29f599c688ef41e6d7a
2026-03-16,2026-03-16 09:00,281A,58.3,tv_04a696645dcc6ce84b5c588266e7d101
2026-03-16,2026-03-16 09:00,3113,-10.0,tv_64b76dc32c4ab09153557cd0de3a42e0
2026-03-16,2026-03-16 09:00,6092,-2.3,tv_619841239cd4f53c1e3f79955e283b5b
2026-03-16,2026-03-16 09:00,9561,10.5,tv_8b522b9bd71b287f5b2c65ca964ba915
2026-03-18,2026-03-18 09:00,2180,-7.3,tv_e40e3941bfb458db0bfa17a44984e7eb
2026-03-18,2026-03-18 09:00,3370,0.6,tv_8909be6654d21fa883e160e30801318f
2026-03-18,2026-03-18 09:00,3936,-6.7,tv_cd661d6682824179789861817a880f95
2026-03-18,2026-03-18 09:00,402A,-17.4,tv_6293d21b1afd89f65a2e0ef3ff0a5cc2
2026-03-18,2026-03-18 09:00,5010,-10.6,tv_724ce8c4620409b57977f436871391f5
2026-03-18,2026-03-18 09:00,6440,-9.6,tv_69c81816ac67630222c41ebbc8f6cfc4
2026-03-18,2026-03-18 09:00,9227,-15.0,tv_f6c4b0f25d680ac4f8504f4e47e4a800
2026-03-18,2026-03-18 13:00,4366,-11.2,tv_7bf3584dc84e33c131261ebef6f4de0f
2026-03-18,2026-03-18 13:00,4888,38.9,tv_4ea4f0649c356707462618ad18b96d99
2026-03-23,2026-03-23 09:00,7066,10.1,tv_f70b870c33c1c0c956e38f177cd5ccfc
2026-03-23,2026-03-23 09:00,8835,32.8,tv_d322852d6924c63eab8340091532d0a6
2026-03-23,2026-03-23 13:00,3077,7.4,tv_69a3c2b8688ba5cdef1fb77de1ac5c23
2026-03-24,2026-03-24 09:00,5137,0.3,tv_97832682695e6d660fd21edb5312e689
2026-03-24,2026-03-24 09:00,6836,8.9,tv_18be36f03a49493cb443c10f7852eede
2026-03-24,2026-03-24 09:00,9235,2.0,tv_ba3a25a1bde420949f646cf692c10984
2026-03-25,2026-03-25 09:00,2354,12.4,tv_e9a1b4edfd662f8aaa8a5ccd21a77249
2026-03-25,2026-03-25 09:00,3010,-5.7,tv_99861d9988bd032312b01c67cb9f3518
2026-03-25,2026-03-25 09:00,4563,0.0,tv_e7e8c408fe2a2d93abba1fd7cb72079e
2026-03-25,2026-03-25 09:00,8524,2.5,tv_1e88372d712289ceb19fc9b835343721
2026-03-26,2026-03-26 09:00,4840,90.2,tv_488464bc4753e49cafd37a4009734360
2026-03-26,2026-03-26 09:00,6173,-24.4,tv_9c1ecd6b4618a9dfa39b566b77acf336
2026-03-26,2026-03-26 09:00,7063,-13.2,tv_5befb7ca9c9cbfdf68f52d7771b25e77
2026-03-27,2026-03-27 13:00,1783,-6.0,tv_e476bcbd434d40b1dd00a669ffb4b405
2026-03-30,2026-03-30 09:00,2351,-1.8,tv_a181ade629659dc625243f1bfc5a1f79
2026-03-30,2026-03-30 09:00,3773,0.4,tv_c701af0bf93a9523f26c612d5453b864
2026-03-30,2026-03-30 13:00,3011,-26.2,tv_da731dc57ceba91b0781332e65e23021
2026-03-30,2026-03-30 13:00,3192,31.6,tv_9f1e87c8dd7dd84ff949a7cebfc5149f
2026-03-31,2026-03-31 09:00,3423,-13.5,tv_d8f9b3f5006235672cba35dfee3b5556
2026-03-31,2026-03-31 09:00,3796,13.3,tv_92f56ca090e33b80ce762dbc63512c74
2026-04-01,2026-04-01 09:00,2334,4.2,tv_74ca1b1f556516c09dd17a27688ebac9
2026-04-01,2026-04-01 09:00,3512,-2.9,tv_fdd2c1f2325735a1afc613d264675d54
2026-04-01,2026-04-01 09:00,3662,4.0,tv_080d430da0f7b5b6f47458678928019f
2026-04-01,2026-04-01 09:00,4019,6.4,tv_c0e61c9bb45bde4f45f791d49010cb27
2026-04-01,2026-04-01 09:00,5255,0.0,tv_283e1340643d606f9b83d7d224fd3d93
2026-04-01,2026-04-01 09:00,7066,4.6,tv_8bd074a8ce9ee9c771955b48a052ee54
2026-04-01,2026-04-01 09:00,7551,-4.4,tv_6bdf5cc5d1bf573f552e6813d96755b3
2026-04-01,2026-04-01 09:00,9213,18.6,tv_e2d39fa4076adabf2da31a06fa7c904e
2026-04-01,2026-04-01 09:00,9219,-0.1,tv_8e7bc33ab852f67d543f84663e7aaea4
2026-04-01,2026-04-01 13:00,3974,2.0,tv_70a48bb9baef510eb68027e8c64077d0
2026-04-01,2026-04-01 13:00,6664,-7.8,tv_53ca8465b3ab75fcc8b1360f416911cd
2026-04-02,2026-04-02 09:00,2195,-15.2,tv_561f3b149cefb0182d8f4f0dee64a272
2026-04-03,2026-04-03 09:00,1848,-3.0,tv_2bae4d6ddaee7ad1fab71f77a49fc766
2026-04-03,2026-04-03 09:00,3856,-25.8,tv_889272fe908fa8ac01836651a1dfab50
2026-04-03,2026-04-03 09:00,3910,-0.3,tv_3d6277d8fd8713085c064d469b2d09e3
2026-04-03,2026-04-03 09:00,4651,-6.6,tv_57bdaac28383b9150f847476656bfb9a
2026-04-03,2026-04-03 09:00,4784,0.8,tv_1e7825d51604e741a1d44c091fbd030c
2026-04-03,2026-04-03 09:00,5134,-10.2,tv_8b8dad866e86df7a51b74a600b9e3fbe
2026-04-03,2026-04-03 09:00,7212,7.8,tv_819564e9b93662809b19a91a1d6c2f38
2026-04-06,2026-04-06 09:00,2929,-2.5,tv_30cf78116cfab5d77e12d3ef08e58d80
